,intent
0,자동안심T로밍음성
1,로밍통화요금
2,baroBox임대료
3,T로밍청구내역서
4,로밍중USIM변경
5,로밍중전화발신방법
6,T로밍고객센터
7,데이터로밍차단시Wi-Fi이용
8,데이터로밍차단시통화문자이용
9,T끼리데이터선물하기받은데이터사용방법
10,T끼리데이터선물하기취소
11,가족간데이터자동선물하기
12,T끼리데이터선물하기연령
13,T끼리데이터선물하기대상
14,T끼리데이터선물하기알림
15,가족간데이터자동선물발송시점
16,데이터리필하기사용방법
17,데이터리필하기쿠폰제공
18,데이터리필하기쿠폰취소
19,데이터리필하기쿠폰유효기간
20,데이터리필하기데이터공유가능여부
21,데이터리필하기mVoIP사용가능여부
22,데이터리필하기쿠폰과안심옵션중복사용
23,데이터리필하기문자통보
24,데이터리필하기선물받은리필쿠폰소멸
25,소리샘서비스비밀번호
26,T전화baro
27,미성년자로밍
28,VIP요금제프로그램
29,가족나눔데이터
30,세금계산서신청방법
31,단말보험가입방법
32,넘버플러스2신청방법
33,5G기기변경방법
34,개명개칭방법
35,군입대장기일시정지재신청방법
36,슬림
37,T전화통화녹음기능
38,PASS건강지키미해지방법
39,OK캐쉬백납부
40,상품권수납
41,데이터추가사용방법
42,로밍중mVoIP이용
43,baroBox임대
44,로밍중휴대폰분실신고
45,선불폰충전금액별이용기간
46,baroBox임대예약취소
47,baroBox임대예약방법
48,T건강습관XAIAVitality
49,T건강습관XAIAVitality이용방법
50,오토컬러링
51,Tworld장기미접속자동탈퇴 
52,ZEM이용방법
53,5G로밍가능국가
54,5G로밍가능휴대폰
55,T전화baro이용방법
56,baroBox옵션변경
57,분실안심990투플러스임대폰취소
58,장기일시정지직권해지
59,요금제변경가능일알림서비스
60,T로밍카드잔액조회
61,철회
62,가입정보조회
63,스팸문자
64,스미싱
65,Tworld문자보내기이용방법
66,미디어앤데이터팩신청방법
67,제조사AS센터연락처
68,콜키퍼
69,T플러스B인터넷해지방법
70,T플러스B인터넷
71,전화상담사연결
72,TLOGIN사용량SMS통보
73,컬러링서비스설정방법
74,HDVoice서비스이용방법
75,4G5G재난문자방송서비스
76,4G5G재난문자방송서비스차단방법
77,Tworld위젯설치방법
78,T멤버십열린멤버십
79,퀵보이스차단서비스
80,모션키
81,ZEM위치조회권한요청방법
82,비밀번호통화서비스해지방법
83,T안심콜
84,USIM카드구매방법
85,SK쉴더스모바일가드
86,TRing
87,컬러링서비스신청방법
88,무약정플랜
89,SMS수신거부
90,해외체류장기일시정지
91,임대제도
92,PASS신용지키미
93,제주도프리
94,Twifizone이용방법
95,Data함께쓰기
96,익명호수신거부서비스신청방법
97,Twifizone찾기
98,TRing플러스차단해지방법
99,착신전환
100,단말보험해지방법
101,선택약정할인제도재가입조건
102,통합청구서
103,미성년자법정대리인정지
104,간편결제서비스
105,휴대폰데이터끊김조치방법
106,휴대폰통화중잡음묵음조치방법
107,휴대폰핫스팟연결불가조치방법
108,휴대폰문자수발신실패조치방법
109,휴대폰중계기설치
110,휴대폰MMS다운로드실패조치방법
111,휴대폰영상수발신불가조치방법
112,휴대폰데이터접속불가조치방법
113,휴대폰데이터속도저하조치방법
114,휴대폰전화수발신불가조치방법
115,휴대폰전화수신불가조치방법
116,휴대폰통화끊김조치방법
117,T플랜맥스+다이렉트플랜
118,5GX스탠다드+다이렉트플랜
119,5GX플래티넘+다이렉트플랜
120,T플랜에센스+다이렉트플랜
121,T플랜세이브+다이렉트플랜
122,휴대폰통화권이탈조치방법
123,NUGU서비스Btv연동이용방법
124,NUGU서비스업데이트실패조치방법
125,NUGU서비스스마트폰연결방법
126,Tmap가이드문자보내기
127,NUGU서비스오디오북이용방법
128,NUGU서비스국내프로야구
129,Tmap가이드전화발신방법
130,NUGU서비스11번가배송지변경
131,NUGU서비스스마트홈음성명령
132,NUGU서비스멜론음원재생오류
133,NUGU서비스스마트홈이용방법
134,NUGU서비스Google캘린더
135,NUGU서비스멜론이용권구매방법
136,NUGU서비스아이디비밀번호찾기
137,NUGU서비스펌웨어업데이트
138,NUGU서비스mini업데이트
139,NUGU서비스알람멜론음악설정방법
140,NUGU서비스알람설정방법
141,NUGU서비스음식주문방법
142,BtvNUGU
143,NUGU서비스앱디바이스연결실패조치방법
144,NUGU서비스무드등
145,NUGU서비스폰찾기알림오류
146,NUGU서비스어학사전
147,NUGU서비스무드등자동꺼짐현상
148,NUGU서비스디바이스AS센터
149,NUGU서비스이용대상
150,NUGU서비스반품및교환
151,NUGU서비스인증번호미수신
152,NUGU서비스회원가입방법
153,NUGU서비스디바이스연결
154,NUGU서비스정기이용권해지방법
155,NUGU서비스셀럽알람
156,알버트AI홈업데이트
157,알버트AI홈초기화방법
158,NUGU서비스T멤버십할인방법
159,NUGU서비스레시피이용방법
160,SK유무선공유기Wi-Fi접속불가조치방법
161,SK유무선공유기Wi-Fi끊김조치방법
162,SK유무선공유기Wi-Fi이름암호확인방법
163,Btv방송신호없음조치방법
164,5GX클라우드게임
165,4G5G재난문자방송서비스이용방법
166,가족결합상품해지방법
167,테더링및모바일핫스팟
168,다른번호문의
169,유선이전설치
170,유선인터넷요금제
171,유선명의변경
172,USIM스마트인증
173,문자메시지서비스
174,오토콜
175,오토콜이용방법
176,이니셜앱SKT고객센터활용업무
177,벨플러스컬러링정액제해지방법
178,벨플러스컬러링정액제설정방법
179,안심통보서비스신청방법
180,미성년자요금제변경방법
181,갤럭시기기변경상담
182,T전화음성명령사용방법
183,T멤버십혜택
184,T우주패스all
185,T우주패스상품신청방법
186,T우주패스해지방법
187,T전화채티대화이력삭제
188,ifland앱
189,빌레터마이풀서비스
190,각종업무구비서류
191,기프티콘
192,음악관련
193,음성관련
194,위치관련
195,예약관련
196,연동관련
197,영상통화관련
198,연장관련
199,고장실패관련
200,개통관련
201,주식관련
202,조회관련
203,차단관련
204,아이폰관련
205,데이터문의관련
206,인증관련
207,이사관련
208,SK텔레콤유튜브
209,T전화프로필
210,T데이터셰어링신청방법
211,T데이터셰어링
212,이름관련
213,T데이터셰어링해지방법
214,PASS프라임서비스
215,PASS프라임서비스신청방법
216,법인고객센터
217,T우주패스slim신청방법
218,T우주패스mini신청방법
219,스마트안심쇼핑신청방법
220,정지해제관련
221,T우주패스life
222,T우주패스life프로모션
223,T우주패스life신청방법
224,모비데이터팩
225,헬로링
226,헬로링신청방법
227,헬로링해지방법
228,헬로링프로모션
229,비밀번호관련
230,5G언택트플랜프로모션
231,TAll케어플러스3플립
232,TAll케어플러스3i보급
233,TAll케어플러스3고급
234,TAll케어플러스3일반
235,TAll케어플러스3i파손50
236,TAll케어플러스3i고급
237,TAll케어플러스3패밀리폴드
238,TAll케어플러스3패밀리파손40
239,TAll케어플러스3패밀리일반
240,TAll케어플러스3패밀리i보급
241,TAll케어플러스3패밀리플립
242,TAll케어플러스3패밀리i일반
243,TAll케어플러스3패밀리고급
244,TAll케어플러스3패밀리i파손80
245,TAll케어플러스3패밀리파손F
246,TAll케어플러스3패밀리i파손50
247,TAll케어플러스3패밀리파손80
248,파손3파손40
249,분실파손3폴드
250,분실파손3i고급
251,분실파손3플립
252,분실파손3i일반
253,분실파손3고급
254,분실파손3i보급
255,분실파손3일반
256,파손3파손80
257,파손3i파손80
258,파손3i파손50
259,ForeignLanguageService
260,T우주패스핫픽
261,T나는폰교체신청방법
262,T나는폰교체해지방법
263,T우주패스연간상품
264,T우주패스연간상품신청방법
265,T우주패스all연간
266,T우주패스all연간신청방법
267,T우주패스life연간
268,T우주패스mini연간
269,T우주패스mini연간신청방법
270,T우주패스slim연간신청방법
271,T우주패스연간상품해지방법
272,요즘가족결합
273,T우주패스패밀리서비스
274,T우주패스패밀리서비스신청방법
275,V컬러링라이트
276,휴대폰결제멤버십
277,이동전화가입(타사)
278,인터넷TV가입(타사)
279,T멤버십혜택(타사)
280,스마트안티피싱신청방법
281,스마트안티피싱
282,마이데이터
283,T우주정기배송서비스
284,T멤버십0day혜택
285,5G시니어C형
286,5G시니어B형
287,5G시니어요금제
288,마인드케어
289,eSIM개통방법
290,eSIMT전화사용방법
291,0청년다이렉트요금제
292,다이렉트플랜요금제
293,baro3GB
294,baro4GB 
295,baro7GB
296,baroYT4GB
297,baroYT5GB
298,baroYT8GB
299,0청년요금제
300,가족로밍
301,데이터로밍요금
302,로밍수신요금
303,로밍문자요금
304,충전용품임대
305,원패스기준시간
306,로밍중LTE데이터이용방법
307,로밍요금확인시점
308,로밍중발신번호표시
309,임대로밍반납방법
310,국제전화알림Biz레터링
311,로밍한사람간통화요금
312,로밍통화요금발생시점
313,로밍중휴대폰기능사용요금
314,T로밍콜키퍼
315,로밍중국제전화카드사용
316,로밍중인증문자수신
317,T멤버십가맹점및사용방법
318,T멤버십VIPPick영화예매방법
319,T멤버십고객등급기준
320,T멤버십카드발급조건
321,T멤버십발급비용
322,레인보우포인트확인방법
323,OK캐쉬백
324,레인보우포인트
325,레인보우포인트사용방법
326,레인보우포인트적립
327,레인보우포인트유효기간
328,T끼리데이터선물하기비용
329,데이터리필하기데이터음성사용기간
330,데이터로밍차단해지
331,실시간요금상세내역
332,T가족모아데이터
333,T가족모아데이터공유방법
334,번호변경방법
335,T멤버십재발급취소
336,T멤버십Tday프로모션
337,휴대폰보험보상신청방법
338,스팸문자차단방법
339,T데이터쿠폰구매방법
340,T멤버십카드번호확인방법
341,자동안심T로밍데이터
342,단말기할부금중도납부방법
343,로밍폰임대료
344,휴대폰기기변경방법
345,팅요금충전방법
346,요금약정할인제도
347,원패스제공국가
348,분실폰찾기
349,단말기잔여할부조회방법
350,착신전환이용방법
351,New온가족플랜
352,요금납부일변경방법
353,넘버플러스2
354,프리미엄패스1
355,신규가입구비서류
356,휴대폰결제이용제한해제방법
357,휴대폰결제이용동의신청방법
358,TB끼리온가족무료
359,65세이상기초연금수급자복지할인제도신청방법
360,넘버플러스2이용방법
361,Tworld회선관리
362,원패스VIP기간형
363,군장병전용요금제
364,0플랜히어로
365,0플랜슈퍼히어로
366,mVoIP
367,통화내역열람방법
368,리모콘이용방법
369,번호변경안내서비스연장방법
370,PUK번호확인방법
371,레터링설정방법
372,T지원금약정
373,이동전화해지방법
374,분실폰찾기알람
375,문자스팸필터링
376,분실폰찾기위치조회
377,기초생활수급자복지할인제도
378,일시정지
379,분실폰찾기단말잠금
380,로밍일시허용
381,영업장위치확인
382,멜론고객센터
383,장애인복지할인제도
384,분실폰찾기개인정보삭제
385,군입대장기일시정지신청방법
386,개별통화수신거부이용방법
387,세금계산서재발행방법
388,명의변경
389,중고기기변경방법
390,국가유공자복지할인제도
391,차상위계층한부모가족복지할인제도
392,5GX요금제
393,5GX플래티넘
394,5GX스탠다드
395,5GX프라임
396,기어VR컨트롤러해결방법
397,5G커버리지
398,국제전화사업자선택
399,발신번호표시제한서비스발신방법
400,발신번호확인서비스
401,T전화T114이용방법
402,복지할인제도
403,USIM기변방법
404,이용계약증명서발급방법
405,Msafer서비스
406,국제전화발신금지
407,T전화스팸기능
408,T로밍도착알리미
409,데이터로밍무조건허용
410,5G함께쓰기프로모션
411,5GT가족모아데이터
412,Tum체험관
413,T로밍음성사용량안내문자차단
414,데이터로밍일시허용
415,T로밍데이터충전
416,T로밍데이터12시간
417,SMSMMS발신자번호확인
418,자녀요금통보서비스
419,과납
420,Skpay해지방법
421,팅요금제자동변경시기
422,요금안내서주소변경방법
423,Skpay가입방법
424,Skpay결제방법
425,FLO이용방법
426,Skpay
427,T라이트할부카드
428,T청소년안심팩서비스해지방법
429,T청소년안심팩서비스신청방법
430,T청소년안심팩서비스
431,TRing해지방법
432,단골고객관리해지방법
433,Skpay가맹점확인방법
434,결합상품
435,T플랜세이브
436,T플랜요금제
437,T플랜맥스
438,이동전화가입제한
439,일500건SMS발송량제한
440,장기가입고객할인제도
441,T플랜안심2.5G
442,무조건소리샘
443,T플랜스페셜
444,T플랜안심4G
445,T플랜에센스
446,편의점요금납부
447,T괌사이판요금제잔여량확인
448,원패스잔여량확인
449,baro요금제잔여량확인
450,T로밍도착알리미옵션변경
451,T괌사이판옵션변경
452,Wavve콘텐츠팩
453,Wavve프로모션혜택
454,해지미환급금조회방법
455,가족결합확인방법
456,현금영수증발행업무
457,동일신용카드월5회수납제한
458,Wavve콘텐츠팩신청방법
459,수납이력서재발행방법
460,명의도용신고방법
461,휴대폰결제이용가능대상
462,롯데TELLO카드
463,국제전화청구주기
464,휴대폰결제연체가산금
465,T포켓파이
466,Wavve콘텐츠팩플러스
467,요금안내서재발행방법
468,단말기일련번호확인방법
469,명의도용
470,ZEM플랜요금제지정번호추가방법
471,가산금
472,T포켓파이데이터사용량확인방법
473,가족나눔데이터나눠쓰기
474,T끼리데이터선물조르기방법
475,법인휴대폰결제
476,T끼리온가족할인제도가입년수확인방법
477,T포켓파이번호확인방법
478,현금영수증발급방법
479,로밍폰임대
480,T로밍Biz요금제
481,baroYT요금제
482,원패스VIP기본형
483,원패스옵션변경
484,로밍중착신전환사용
485,자동안심T로밍데이터해지
486,가입비
487,baroBox잔여량조회
488,착신전환해지방법
489,타사고객baroBox이용
490,선불폰충전취소방법
491,로밍폰임대예약방법
492,FLO앤데이터해지방법
493,고액정보이용료특이정지
494,복지할인제도변경방법
495,선불폰
496,미납이용정지
497,비즈링설정방법
498,자동연결유료서비스
499,T건강습관XAIAVitality신청방법
500,폰기능상담24
501,비즈링신청방법
502,HDVoice서비스
503,주민등록번호정정
504,비즈링해지방법
505,통화중대기서비스해지방법
506,자동연결유료서비스해지방법
507,선불폰충전방법
508,오토컬러링플러스
509,오토컬러링플러스신청방법
510,오토컬러링설정방법
511,자동연결유료서비스이용방법
512,전화번호안심로그인해지방법
513,비즈링
514,태블릿번호확인방법
515,오토컬러링플러스설정방법
516,자동연결유료서비스신청방법
517,오토컬러링신청방법
518,FLO앤데이터
519,T안심보상
520,FLO앤데이터플러스
521,FLO프로모션혜택
522,요금안내서발행유형자동변경해제방법
523,FLO앤데이터신청방법
524,FLO앤데이터플러스신청방법
525,T전화설정방법
526,상담사칭찬방법
527,골드번호프로모션당첨확인방법
528,T전화보이는ARS해제방법
529,골드번호
530,골드번호프로모션
531,부가서비스가입내역확인방법
532,T전화그룹통화
533,분실정지해제방법
534,컬러링플러스2신청방법
535,컬러링플러스2
536,컬러링플러스2설정방법
537,컬러링플러스2해지방법
538,분실정지방법
539,ZEM
540,5G로밍서비스
541,로밍폰임대예약취소
542,친구찾기서비스신청방법
543,T멤버십VIPPick
544,분실안심990투플러스
545,컨트리락해제방법
546,데이터통화료상한제도
547,친구찾기서비스위치조회방법
548,친구찾기서비스해지방법
549,친구찾기서비스
550,문자매니저신청방법
551,T전화콜라영상통화
552,TRing플러스해지방법
553,행복AS
554,문자매니저
555,넘버플러스2해지방법
556,Tmap문의방법
557,스마트피싱보호해지방법
558,스마트피싱보호신청방법
559,스마트피싱보호
560,요금납부일확인방법
561,T로밍데이터잔여량확인
562,T로밍데이터12시간옵션변경
563,분실안심990투플러스임대폰반납
564,SKT미납센터연락처
565,미납직권해지
566,T멤버십구매상품(구.초콜릿)상담센터
567,NUGU서비스
568,가족간명의변경신청방법
569,SKT해지미납센터연락처
570,멜론NUGU스트리밍클럽신청방법
571,멜론NUGU스트리밍클럽결제취소방법
572,가족간명의변경
573,데이터결합약정할인반환금
574,일시정지해제방법
575,데이터결합약정할인
576,멜론NUGU스트리밍클럽해지방법
577,데이터결합약정할인신청방법
578,멜론NUGU스트리밍클럽
579,데이터결합약정할인해지방법
580,SK쉴더스모바일가드알림설정방법
581,컬러링라이트신청방법
582,컬러링라이트
583,SK쉴더스모바일가드해지방법
584,등기문자
585,해외SMS발신금지서비스신청방법
586,컬러링라이트설정방법
587,PASS건강지키미
588,해외SMS발신금지서비스
589,PASS건강지키미신청방법
590,해외MMS서비스
591,해외SMS서비스
592,자녀요금통보서비스해지방법
593,T로밍카드내역확인
594,T로밍카드유효기간
595,T로밍카드환불
596,T로밍카드선물
597,공공알림문자서비스해지방법
598,멜론익스트리밍해지방법
599,T로밍카드타인양도
600,멜론익스트리밍신청방법
601,T로밍카드고객센터
602,멜론익스트리밍
603,멜론익스트리밍플러스
604,멜론익스트리밍플러스해지방법
605,멜론익스트리밍플러스신청방법
606,애플콘텐츠이용료결제내역확인방법
607,콜링플러스신청방법
608,애플콘텐츠이용료결제수수료
609,개통이력단말기피해보상신청방법
610,T모아쿠폰
611,애플콘텐츠이용료결제이용한도
612,개통이력단말기피해보상제도
613,단말기교품
614,애플콘텐츠이용료
615,앱스토어결제수단
616,콜링신청방법
617,0프로그램
618,공시지원금확인방법
619,T로밍카드
620,애플콘텐츠이용료결제취소방법
621,콜링
622,0캠퍼스
623,익명호수신거부서비스해지방법
624,FLO앤데이터플러스해지방법
625,애플콘텐츠이용료이용방법
626,번호이동제도
627,휴대폰개통일확인방법
628,미디어앤데이터팩
629,콜링플러스해지방법
630,단말기자급제도
631,band데이터6.5G
632,고객보호비밀번호서비스변경방법
633,콜링플러스
634,Wavve속도제어해제
635,band데이터퍼펙트
636,T로밍카드종류
637,고객보호비밀번호서비스신청방법
638,미디어앤데이터팩해지방법
639,5G클러스터
640,데이터슈퍼패스
641,고객보호비밀번호서비스해지방법
642,Wavve앤데이터플러스신청방법
643,고객보호비밀번호서비스
644,band데이터퍼펙트S
645,SKpay고객센터
646,Wavve속도제어해제신청방법
647,Wavve앤데이터플러스해지방법
648,0플랜미디엄
649,Wavve앤데이터
650,T로밍카드구매방법
651,0플랜라지
652,데이터스테이션
653,0플랜스몰
654,데이터SOS
655,T다이렉트샵바로픽업서비스
656,Wavve앤데이터플러스
657,0플랜요금제
658,Wavve앤데이터해지방법
659,Wavve앤데이터신청방법
660,band데이터요금제
661,T로밍카드결제수단
662,T로밍카드구매처
663,콜링해지방법
664,T로밍카드등록방법
665,T로밍카드등록실패사유
666,band어르신세이브
667,무료음성요금제
668,주말엔팅요금제
669,T플랜인피니티
670,band어르신1.2G
671,T플랜라지
672,T끼리어르신
673,콜키퍼해지방법
674,타통신사고객센터
675,표준요금제
676,레터링신청방법
677,무료음성94
678,무료음성79
679,T플랜패밀리
680,요금안내서변경방법
681,무료음성54
682,무료음성44
683,레터링해지방법
684,선택약정할인제도해지방법
685,T플랜레귤러
686,안심문자신청방법
687,band어르신2.2G
688,무료음성28
689,법정대리인에게미성년자청구금액SMSMMS발송
690,무료음성19
691,주말엔팅3.0G
692,T플랜미디엄
693,T통화매니저앱
694,T플랜스몰
695,콜키퍼신청방법
696,발신번호메모플러스해지방법
697,안심문자
698,band어르신요금제
699,주말엔팅세이브
700,무료음성34
701,T플러스B인터넷신청방법
702,컬러링서비스해지방법
703,Tworld아이디비밀번호찾기방법
704,뉴T끼리맞춤형요금제
705,채팅플러스해지방법
706,채팅플러스
707,스마트홈서비스
708,LTE팅안심옵션
709,무료음성64
710,레터링
711,주말엔팅5.0G
712,요금제변경가능일알림서비스신청방법
713,LTE안심옵션해지방법
714,안심문자해지방법
715,LTE실버안심옵션
716,JumpAR앱
717,PASS해지방법
718,자녀요금조회방법
719,SKT콜렉트콜서비스
720,AR동물원
721,TTab30
722,제휴카드할인
723,공동인증서등록방법
724,SK텔레콤할인혜택
725,진행중이벤트
726,자녀데이터사용량조회방법
727,TTab18공유
728,TTab30공유
729,소리누리요금제
730,국제전화수신거부서비스신청방법
731,TTab24
732,장기일시정지
733,SK텔레콤이용약관
734,T쿠폰
735,TTab18
736,TTab함께쓰기공유요금제
737,가입상담예약방법
738,T쿠폰잔액조회방법
739,TTab9
740,국제전화수신거부서비스해지방법
741,요금수납내역확인방법
742,다자녀할인제도
743,T앱
744,이메일상담
745,TTab24공유
746,T쿠폰등록방법
747,T쿠폰구매방법
748,손누리요금제
749,넘버플러스2번호확인방법
750,TTab단독요금제
751,국제전화수신거부서비스
752,원패스VIP
753,T데이터쿠폰사용기간
754,로그인보호서비스해지방법
755,T데이터쿠폰잔액조회방법
756,T쿠폰고객센터
757,Wavve
758,wavvego서비스이용기간
759,Wavve유료이용권해지방법
760,휴대폰안심결제해지방법
761,Wavve부가서비스인증방법
762,Wavve코인확인방법
763,휴대폰간편로그인해지방법
764,뉴실버요금제
765,T데이터쿠폰등록기간
766,T데이터쿠폰등록방법
767,Wavvego서비스
768,손누리링신청방법
769,손누리링설정방법
770,퀵보이스
771,전국민무한69
772,원플러스컬러링
773,데이터리필하기쿠폰사용내역확인방법
774,스마트콜Pick해지방법
775,손누리링
776,레드커넥트해지방법
777,채팅플러스계좌송금서비스
778,모션키신청방법
779,모션키해지방법
780,손누리링해지방법
781,원키퍼
782,원키퍼해지방법
783,ZEM오류접수방법
784,원키퍼신청방법
785,스마트콜Pick
786,레드커넥트
787,유튜브프리미엄자동결제해지방법
788,스마트사인해지방법
789,전국민무한85
790,최근사용량확인방법
791,원플러스컬러링신청방법
792,전국민무한요금제
793,원플러스컬러링설정방법
794,퀵보이스신청방법
795,레드커넥트신청방법
796,퀵보이스이용방법
797,웹발신알림
798,원플러스컬러링해지방법
799,T전화녹음파일확인방법
800,퀵보이스해지방법
801,스마트콜Pick신청방법
802,전국민무한100
803,전국민무한75
804,T안심콜해지방법
805,T안심콜라이트해지방법
806,콜키퍼플러스
807,T안심콜신청방법
808,T안심콜라이트
809,T안심콜라이트신청방법
810,퍼펙트콜라이트
811,비밀번호통화서비스신청방법
812,콜키퍼플러스해지방법
813,FLO
814,퍼펙트콜라이트신청방법
815,퍼펙트콜라이트해지방법
816,비밀번호통화서비스
817,비밀번호통화서비스이용방법
818,콜키퍼플러스신청방법
819,콜미프리서비스신청방법
820,SKT5GX
821,콜미프리서비스해지방법
822,콜미프리서비스
823,자동안심T로밍
824,로밍폰임대옵션변경
825,로밍통화내역열람
826,휴대폰렌탈
827,휴대폰렌탈이용요금
828,휴대폰렌탈예약방법
829,PASS주식정보해지방법
830,USIM카드교품방법
831,지켜줘서고마워현역플랜포인트조회방법
832,주식투자노트해지방법
833,주식서비스
834,마이스마트콜2
835,SMS수신거부신청방법
836,리모콘신청방법
837,착신전환신청방법
838,통화중대기서비스
839,TRing신청방법
840,무선인터넷차단
841,공공알림문자서비스
